compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,enthalpy_formation_atom
C1Zr1,aflow:0fcac9b5bc44e7f4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_619170,225,cF8,"['C', 'Zr']",-0.812584
C1Zr1,aflow:0f48656c8f1dcb62,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_181092,225,cF8,"['C', 'Zr']",-0.812472
C1Zr1,aflow:133de7a2c68574c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_619154,225,cF8,"['C', 'Zr']",-0.812585
C1Zr1,aflow:15da08280f56843c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_619155,225,cF8,"['C', 'Zr']",-0.812585
C1Zr1,aflow:18dba5d40dc304e1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_619166,225,cF8,"['C', 'Zr']",-0.812584
C1Zr1,aflow:183cdd9f310af68b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_619173,225,cF8,"['C', 'Zr']",-0.812584
C1Zr1,aflow:1f976b430cdd9d6c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_619175,225,cF8,"['C', 'Zr']",-0.812584
C1Zr1,aflow:20c8d17e538fab88,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_26954,225,cF8,"['C', 'Zr']",-0.81258
C1Zr1,aflow:2162b8124cd47c72,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_619149,225,cF8,"['C', 'Zr']",-0.812584
C1Zr1,aflow:2b168367b23eff8c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_619172,225,cF8,"['C', 'Zr']",-0.812584
C1Zr1,aflow:32a60e233e32d8b7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_22264,225,cF8,"['C', 'Zr']",-0.812503
C1Zr1,aflow:485023024cc08d40,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_181094,225,cF8,"['C', 'Zr']",-0.812476
