compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spin_d_carbon,spin_d_metal,egap,thermal_expansion,debye_temperature,formation_enthalpy,natoms,volume_cell,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity
B1C1,aflow:cf93a9ede3ab39eb,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/201,225,cF8,"['B', 'C']",0.0,0.0,,,,1.41832,2,11.6,3.5934035582861052,,,,,
B2C2,aflow:09c6a42684d071af,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/119,225,cF8,"['B', 'C']",0.0,0.0,,,,1.42094,4,23.181,3.592422332506054,,,,,
B2C2,aflow:be39bd0baf275064,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/B_hC/448,225,cF8,"['B', 'C']",0.0,0.0,,,,1.42118,4,23.198,3.593300296595819,,,,,
Ba1C1,aflow:3d7c87186585bd5c,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/720.BA,225,cF8,"['Ba', 'C']",0.806,0.149,,,,1.39193,2,54.5947,6.021945560128544,,,,,
Ba1C1,aflow:425d69d2ed19802d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/720.AB,225,cF8,"['Ba', 'C']",0.806,0.149,,,,1.39193,2,54.5947,6.021945560128544,,,,,
Ba1C1,aflow:5e62b59a121befe4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/201,225,cF8,"['Ba', 'C']",0.806,0.149,,,,1.39193,2,54.5947,6.021945560128544,,,,,
Ba1C1,aflow:f6641b23cd252f2e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/4,225,cF8,"['Ba', 'C']",0.806,0.149,,,,1.39222,2,54.5989,6.02209998001912,,,,,
Ba2C2,aflow:339b48bcb114c4c0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/197,225,cF8,"['Ba', 'C']",0.807,0.149,,,,1.39226,4,109.126,6.020779802075375,,,,,
Ba2C2,aflow:85033a12ea331bec,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/77,225,cF8,"['Ba', 'C']",0.807,0.149,,,,1.39227,4,109.218,6.022471290672599,,,,,
Ba2C2,aflow:9b66ac6561cbafb8,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/71,225,cF8,"['Ba', 'C']",0.807,0.149,,,,1.39205,4,109.113,6.020540710732351,,,,,
Ba2C2,aflow:bb7ea2f28dc46ade,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/14,225,cF8,"['Ba', 'C']",0.806,0.149,,,,1.39229,4,109.126,6.020779802075375,,,,,
Be1C1,aflow:9ea4d5b3ab249d3b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/201,225,cF8,"['Be', 'C']",0.0,0.0,,,,1.30177,2,14.464,3.867670501689311,,,,,
Be1C1,aflow:cb1a759c8e8866ad,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/720.AB,225,cF8,"['Be', 'C']",0.0,0.0,,,,1.30177,2,14.464,3.867670501689311,,,,,
Be1C1,aflow:f537e74e65be3a0e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/720.BA,225,cF8,"['Be', 'C']",0.0,0.0,,,,1.30177,2,14.464,3.867670501689311,,,,,
Bi1C1,aflow:06e34f9330c842de,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/720.AB,225,cF8,"['Bi', 'C']",0.0,0.0,,,,1.68052,2,33.9123,5.138137778163433,,,,,
Bi1C1,aflow:0870c4a5c0c5d8b2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/201,225,cF8,"['Bi', 'C']",0.0,0.0,,,,1.68052,2,33.9123,5.138137778163433,,,,,
Bi1C1,aflow:2e7ee3cdb53de5d3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/720.BA,225,cF8,"['Bi', 'C']",0.0,0.0,,,,1.68052,2,33.9122,5.138132727741385,,,,,
Bi1C1,aflow:8063e48d83f0808d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/4,225,cF8,"['Bi', 'C']",0.0,0.0,,,,1.68054,2,33.9079,5.137915550200372,,,,,
Bi2C2,aflow:4442afe00999a053,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/119,225,cF8,"['Bi', 'C']",0.0,0.0,,,,1.68055,4,67.8295,5.138261510402349,,,,,
Br1C1,aflow:1681afafa482cb4f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/720.AB,225,cF8,"['Br', 'C']",0.0,0.0,,,,2.63074,2,30.4644,4.957745246417941,,,,,
Br1C1,aflow:48c2acae4461a530,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/201,225,cF8,"['Br', 'C']",0.0,0.0,,,,2.63074,2,30.4644,4.957745246417941,,,,,
Br1C1,aflow:5f47e633fdd062e5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/720.BA,225,cF8,"['Br', 'C']",0.0,0.0,,,,2.63074,2,30.4644,4.957745246417941,,,,,
Br1C1,aflow:f9ba843bac27981f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/4,225,cF8,"['Br', 'C']",0.0,0.0,,,,2.63076,2,30.4638,4.9577126984091535,,,,,
C1Ca1,aflow:bec04eacd36fbed0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/720.BA,225,cF8,"['C', 'Ca']",0.815,0.135,,,,1.13057,2,36.9423,5.286821417535564,,,,,
C1Ca1,aflow:d4f8ec7c54ac73bf,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/201,225,cF8,"['C', 'Ca']",0.815,0.135,,,,1.13057,2,36.9418,5.2867975657212956,,,,,
C1Ca1,aflow:de74d3a0085bdf79,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/4,225,cF8,"['C', 'Ca']",0.815,0.135,,,,1.13102,2,36.9095,5.285256282274493,,,,,
C1Ca1,aflow:e405c0ccdd255754,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/720.AB,225,cF8,"['C', 'Ca']",0.815,0.135,,,,1.13057,2,36.9418,5.2867975657212956,,,,,
C1Cd1,aflow:5c11d3fe338ee4d9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/201,225,cF8,"['C', 'Cd']",0.0,0.0,,,,1.97771,2,28.5737,4.852983603655075,,,,,
C1Cd1,aflow:7ba2f6b4713017d4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/720.BA,225,cF8,"['C', 'Cd']",0.0,0.0,,,,1.97771,2,28.5737,4.852983603655075,,,,,
C1Cd1,aflow:b86d586a4d8c7933,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/720.AB,225,cF8,"['C', 'Cd']",0.0,0.0,,,,1.97771,2,28.5737,4.852983603655075,,,,,
C1Cd1,aflow:d49918f57adc69db,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/4,225,cF8,"['C', 'Cd']",0.0,0.0,,,,1.97775,2,28.5758,4.853102489389296,,,,,
C1Co1,aflow:1dd7181652ef69b2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/201,225,cF8,"['C', 'Co']",0.026,0.274,,,,0.819653,2,16.1057,4.008789007525815,,,,,
C1Co1,aflow:1f70e72def8afb2f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/720.AB,225,cF8,"['C', 'Co']",0.026,0.274,,,,0.819653,2,16.1057,4.008789007525815,,,,,
C1Co1,aflow:d63b49bad3700680,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/4,225,cF8,"['C', 'Co']",0.026,0.274,,,,0.819668,2,16.1085,4.009021305383348,,,,,
C1Co1,aflow:ffb09b43141f024b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/720.BA,225,cF8,"['C', 'Co']",0.026,0.274,,,,0.819653,2,16.1057,4.008789007525815,,,,,
C1Cr1,aflow:0966002967d38874,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/720.AB,225,cF8,"['C', 'Cr']",0.0,-0.002,,,,0.173295,2,16.8723,4.071409259900487,,,,,
C1Cr1,aflow:22440a101d4cd4d9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/4,225,cF8,"['C', 'Cr']",0.0,0.0,,,,0.173466,2,16.869,4.071143804556553,,,,,
C1Cr1,aflow:48383caf30281ea0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/ICSD_57008.AB,225,cF8,"['C', 'Cr']",0.0,-0.003,,,,0.173298,2,16.879,4.071948108231303,,,,,
C1Cr1,aflow:c202668d580fc1be,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/201,225,cF8,"['C', 'Cr']",0.0,-0.002,,4.52484e-05,632.947,0.173295,2,16.8723,4.071409259900487,247.842,0.308903,108.553,284.171,14.1711
C1Cr1,aflow:d49ca09aea69740a,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/720.BA,225,cF8,"['C', 'Cr']",0.0,0.004,,,,0.173295,2,16.8699,4.0712162049016545,,,,,
C1Cs1,aflow:742589d04d8b0dfa,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCs_sv/77,225,cF8,"['C', 'Cs']",1.193,0.097,,,,2.25759,2,79.1913,6.816778060907099,,,,,
C1Cs1,aflow:a24dc2249e782e11,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCs_sv/256,225,cF8,"['C', 'Cs']",1.193,0.097,,,,2.25759,2,79.1781,6.816399288363538,,,,,
C1Cu1,aflow:76a33ee0735c62ef,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCu_pv/720.BA,225,cF8,"['C', 'Cu']",0.0,0.0,,,,1.7004,2,18.7423,4.216585964665081,,,,,
C1Cu1,aflow:b120307fb592b4f5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCu_pv/201,225,cF8,"['C', 'Cu']",0.0,0.0,,,,1.70041,2,18.7423,4.216585964665081,,,,,
C1Cu1,aflow:ed9de32ec714b648,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCu_pv/720.AB,225,cF8,"['C', 'Cu']",0.0,0.0,,,,1.70041,2,18.7423,4.216585964665081,,,,,
C1Fe1,aflow:3be2a2bb2f1f6c50,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/720.BA,225,cF8,"['C', 'Fe']",0.0,0.0,,,,0.598101,2,15.9242,3.9936733319268525,,,,,
C1Fe1,aflow:6736d65c1c25a697,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/201,225,cF8,"['C', 'Fe']",0.0,0.0,,,,0.598101,2,15.9242,3.9936733319268525,,,,,
C1Fe1,aflow:aff2d7466788413a,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/4,225,cF8,"['C', 'Fe']",0.0,0.0,,,,0.598135,2,15.9259,3.993815442741035,,,,,
C1Fe1,aflow:b3971f174eb2edc9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CFe_pv/720.AB,225,cF8,"['C', 'Fe']",0.0,0.0,,,,0.598101,2,15.9242,3.9936733319268525,,,,,
