compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,enthalpy_formation_atom
Ag1C1,aflow:1f38ccafe2d28fa6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/4,225,cF8,"['Ag', 'C']",2.23388
Ag1C1,aflow:251a1bdcc246b844,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/201,225,cF8,"['Ag', 'C']",2.23382
Ag1C1,aflow:2c84cd06c8faa827,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/720.BA,225,cF8,"['Ag', 'C']",2.23382
Ag1C1,aflow:4d0e5a73b8a361cf,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/720.AB,225,cF8,"['Ag', 'C']",2.23382
Ag1C1,aflow:888eb1ac47489d36,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/ICSD_183175.AB,225,cF8,"['Ag', 'C']",2.23382
Ag2C2,aflow:a4097eddcd5df0cd,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AgC/119,225,cF8,"['Ag', 'C']",2.2328
Al2C2,aflow:02f185763b366132,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/448,225,cF8,"['Al', 'C']",0.485121
Al2C2,aflow:0750c9fde300c7b9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/447,225,cF8,"['Al', 'C']",0.485111
Al1C1,aflow:17d0dd54d67209e7,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/720.BA,225,cF8,"['Al', 'C']",0.485762
Al2C2,aflow:38b1d2816a63fcda,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/20,225,cF8,"['Al', 'C']",0.484823
Al2C2,aflow:40b23ce4632d808d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/77,225,cF8,"['Al', 'C']",0.484856
Al1C1,aflow:70a426f52fcb6273,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/201,225,cF8,"['Al', 'C']",0.485762
Al3C3,aflow:799ac2f79febb96b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/136,225,cF8,"['Al', 'C']",0.486453
Al2C2,aflow:9a89d4ce35fc0bb6,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/14,225,cF8,"['Al', 'C']",0.486812
Al1C1,aflow:9ffee3ad9994f9a1,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/720.AB,225,cF8,"['Al', 'C']",0.485762
Al4C4,aflow:ba55928a41c867c4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AlC/256,225,cF8,"['Al', 'C']",0.485878
As1C1,aflow:107b112353b58826,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AsC/201,225,cF8,"['As', 'C']",1.48206
As1C1,aflow:5aa863a7336768eb,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AsC/720.BA,225,cF8,"['As', 'C']",1.48206
As1C1,aflow:6bfd38d61c81dd9f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AsC/4,225,cF8,"['As', 'C']",1.48208
As1C1,aflow:a45a88c13a026cbd,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/AsC/720.AB,225,cF8,"['As', 'C']",1.48206
