compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD
Ba2C2,aflow:9b66ac6561cbafb8,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/71,225,cF8,"['Ba', 'C']","[0.149, 0.149, 0.807, 0.807]"
Ba2C2,aflow:bb7ea2f28dc46ade,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/14,225,cF8,"['Ba', 'C']","[0.149, 0.149, 0.806, 0.806]"
Ba1C1,aflow:f6641b23cd252f2e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Ba_svC/4,225,cF8,"['Ba', 'C']","[0.149, 0.806]"
Be1C1,aflow:9ea4d5b3ab249d3b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/201,225,cF8,"['Be', 'C']","[0, 0]"
Be1C1,aflow:cb1a759c8e8866ad,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/720.AB,225,cF8,"['Be', 'C']","[0, 0]"
Be1C1,aflow:f537e74e65be3a0e,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Be_svC/720.BA,225,cF8,"['Be', 'C']","[0, 0]"
Bi1C1,aflow:06e34f9330c842de,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/720.AB,225,cF8,"['Bi', 'C']","[0, 0]"
Bi1C1,aflow:0870c4a5c0c5d8b2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/201,225,cF8,"['Bi', 'C']","[0, 0]"
Bi1C1,aflow:2e7ee3cdb53de5d3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/720.BA,225,cF8,"['Bi', 'C']","[0, 0]"
Bi2C2,aflow:4442afe00999a053,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/119,225,cF8,"['Bi', 'C']","[0, 0, 0, 0]"
Bi1C1,aflow:8063e48d83f0808d,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/Bi_dC/4,225,cF8,"['Bi', 'C']","[0, 0]"
Br1C1,aflow:1681afafa482cb4f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/720.AB,225,cF8,"['Br', 'C']","[0, 0]"
Br1C1,aflow:48c2acae4461a530,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/201,225,cF8,"['Br', 'C']","[0, 0]"
Br1C1,aflow:5f47e633fdd062e5,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/720.BA,225,cF8,"['Br', 'C']","[0, 0]"
Br1C1,aflow:f9ba843bac27981f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/BrC/4,225,cF8,"['Br', 'C']","[0, 0]"
C2Ca2,aflow:0a7e96f695c2615c,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/196,225,cF8,"['C', 'Ca']","[0.814, 0.814, 0.135, 0.135]"
C2Ca2,aflow:44f6c5e523c366e3,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/197,225,cF8,"['C', 'Ca']","[0.814, 0.814, 0.135, 0.135]"
C2Ca2,aflow:610fa7e18338c4da,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/20,225,cF8,"['C', 'Ca']","[0.815, 0.815, 0.135, 0.135]"
C2Ca2,aflow:889b2203aab52f32,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/71,225,cF8,"['C', 'Ca']","[0.814, 0.814, 0.135, 0.135]"
C2Ca2,aflow:90fe129209b882d2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/77,225,cF8,"['C', 'Ca']","[0.816, 0.816, 0.135, 0.135]"
C1Ca1,aflow:bec04eacd36fbed0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/720.BA,225,cF8,"['C', 'Ca']","[0.815, 0.135]"
C1Ca1,aflow:d4f8ec7c54ac73bf,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/201,225,cF8,"['C', 'Ca']","[0.815, 0.135]"
C1Ca1,aflow:de74d3a0085bdf79,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/4,225,cF8,"['C', 'Ca']","[0.815, 0.135]"
