compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,natoms,volume_cell,ael_bulk_modulus_vrh,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_thermal_conductivity_300K
C1Hf1,aflow:92d6b24b8eab0e1d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618011,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947979,2,25.1337,,,,,
C1Hf1,aflow:93de5cdf2d177f28,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618003,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947974,2,25.1251,,,,,
C1Hf1,aflow:b47a366c761301a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_108134,225,cF8,"['C', 'Hf']","[0, 0]",0,2.25939e-05,534.95,-0.947977,2,25.1286,239.433,0.191862,185.706,442.671,63.6972
C1Hf1,aflow:b4ded597920b5b86,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_617998,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947974,2,25.1251,,,,,
C1Hf1,aflow:b9c23eaefce99ab9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_658398,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1285,,,,,
C1Hf1,aflow:bc1de4e7059afc64,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_617997,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947974,2,25.1259,,,,,
C1Hf1,aflow:be6d72090aeac184,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_159873,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1299,,,,,
C1Hf1,aflow:c1e3fc043f434484,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618004,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947977,2,25.1304,,,,,
C1Hf1,aflow:d03317b40ac91dce,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618018,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947979,2,25.1587,,,,,
C1Hf1,aflow:d7f08593d965949a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618001,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947974,2,25.1251,,,,,
C1Hf1,aflow:dc287cb038048c4a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Hf1_ICSD_618000,225,cF8,"['C', 'Hf']","[0, 0]",0,,,-0.947974,2,25.1257,,,,,
C1Ir1,aflow:87230621924d75d6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ir1_ICSD_185983,225,cF8,"['C', 'Ir']","[0.115, 0.492]",0,,,,2,21.0398,,,,,
C1Mo1,aflow:768ceabdd3106f75,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_77157,225,cF8,"['C', 'Mo']","[0, 0]",0,,,,2,21.2117,,,,,
C1Mo1,aflow:c26e5f22dedda7c4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_618306,225,cF8,"['C', 'Mo']","[0, 0]",0,,,,2,21.2115,,,,,
C1Mo1,aflow:dcc37d0f19011b4d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_43523,225,cF8,"['C', 'Mo']","[0, 0]",0,,,,2,21.2303,,,,,
C1Mo1,aflow:e6168f280fcabded,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_183165,225,cF8,"['C', 'Mo']","[0, 0]",0,1.97358e-05,685.006,,2,21.2241,325.65,0.265415,181.109,458.355,58.2171
C1Mo1,aflow:fd34dee078319bb9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Mo1_ICSD_618302,225,cF8,"['C', 'Mo']","[0, 0]",0,,,,2,21.2115,,,,,
C1Nb1,aflow:306d794471ba0aa8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618475,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8161,,,,,
C1Nb1,aflow:32b9cbf60b1a5f82,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618463,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8354,,,,,
C1Nb1,aflow:3af6e0150543164b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_601142,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8165,,,,,
C1Nb1,aflow:41441e30d7d0aee9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_181052,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8778,,,,,
C1Nb1,aflow:59313a3131de9c03,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618480,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8094,,,,,
C1Nb1,aflow:60a2faed282b0dd1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618482,225,cF8,"['C', 'Nb']",[0],0,,,,2,22.8326,,,,,
C1Nb1,aflow:6186072d704e10a2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618453,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8814,,,,,
C1Nb1,aflow:627b75db5b51576a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618471,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8356,,,,,
C1Nb1,aflow:6ee50d256c112b06,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_189089,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8268,,,,,
C1Nb1,aflow:725c78e6ed8ac310,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618473,225,cF8,"['C', 'Nb']",[0],0,,,,2,22.8326,,,,,
C1Nb1,aflow:7291a227092ef04c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_44355,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8387,,,,,
C1Nb1,aflow:8416098a91dbc14d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618465,225,cF8,"['C', 'Nb']",[0],0,,,,2,22.8326,,,,,
C1Nb1,aflow:8e3422b6285dd3d9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618460,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8381,,,,,
C1Nb1,aflow:9b103e465983c9ae,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_26955,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8373,,,,,
C1Nb1,aflow:9d49287a6d1da95a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_183163,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.8702,,,,,
C1Nb1,aflow:9fa8d5025797d2c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_181792,225,cF8,"['C', 'Nb']","[0, 0]",0,,,,2,22.7997,,,,,
