parameter,mean_variance
spinD_carbon,0.19252134011656905
spinD_metal,0.1909207832442492
Egap,
agl_thermal_expansion_300K,0.02893696853654323
agl_debye,0.031006350542407732
enthalpy_formation_atom,0.001257601556151767
calculated_lattice_parameter,0.006042877116874124
ael_bulk_modulus_vrh,0.02864032016259973
ael_poisson_ratio,0.05146176135596905
ael_shear_modulus_vrh,0.06609447157795166
ael_youngs_modulus_vrh,0.05806214963823719
agl_thermal_conductivity_300K,0.11137091481546575
