compound,binding_metal,spin_d_carbon,spin_d_metal,egap,thermal_expansion,debye_temperature,formation_enthalpy,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity,run_count,source
C1Rh1,Rh,0.069,0.17899999999999996,,,,1.08719,4.358929120046274,,,,,,3,aflow
C1Rh1,Rh,0.113,0.302,0.0,3.09355e-05,405.975,,4.346560893001479,280.367,0.390611,66.1628,184.014,10.6001,2,icsd
C1Ru1,Ru,0.0,0.0,,,,0.905407,4.321639609244627,,,,,,4,aflow
C1Ru1,Ru,0.0,0.0,0.0,2.79783e-05,204.963,,4.310003750335433,317.922,0.475088,16.1078,47.521,1.49975,1,icsd
C1Sb1,Sb,0.0,0.0,,,,1.35775,4.891683797389682,,,,,,4,aflow
C1Sc1,Sc,0.0,0.0,,3.35217e-05,595.138,-0.141557,4.685851514278241,153.601,0.307883,67.6882,177.057,26.9782,4,aflow
C1Sc1,Sc,0.0,0.0,0.0,3.34434e-05,607.089,,4.759455625856309,146.644,0.294489,69.843,180.822,28.7652,3,icsd
C1Se1,Se,0.0,0.0,,,,1.923505,4.603864112744722,,,,,,4,aflow
C1Si1,Si,0.0,0.0,,,,0.5348059999999999,4.056226767676649,,,,,,4,aflow
C1Si1,Si,0.0,0.0,0.0,2.71302e-05,1026.21,0.535123,4.057948116675488,242.211,0.206966,176.416,425.857,60.7937,1,icsd
C1Sn1,Sn,0.0,0.0,,,,1.25588,4.79542242717948,,,,,,4,aflow
C1Sn1,Sn,0.0,0.0,0.0,5.65259e-05,444.036,,4.897830498697674,119.661,0.211036,85.6568,207.467,14.5718,1,icsd
C1Sr1,Sr,0.835,0.11925,,,,1.2640425,5.6772737933812465,,,,,,4,aflow
C1Ta1,Ta,0.0,0.0,,1.93659e-05,563.069,-0.58063425,4.479337363994908,321.384,0.229615,212.011,521.383,64.3567,24,aflow
C1Ta1,Ta,0.0,0.0,0.0,1.9468e-05,548.016,,4.505583045690644,315.444,0.237138,201.073,497.51,61.4198,37,icsd
C1Tc1,Tc,0.0,0.0,,,,0.644485,4.336377873596269,,,,,,3,aflow
C1Tc1,Tc,-0.114,1.385,0.0,5.51523e-05,439.187,,4.369897834433188,230.128,0.362243,69.8152,190.211,5.40894,1,icsd
C1Te1,Te,0.0,0.0,,,,1.8436825,4.997909792216116,,,,,,4,aflow
C1Th1,Th,0.0,0.0,0.0,2.4455e-05,355.982,,5.480067955999349,147.5,0.250005,88.4978,221.245,29.595,10,icsd
C1Ti1,Ti,0.0,0.0,,2.10396e-05,890.952,-0.8179829999999999,4.337621212576353,250.112,0.211539,178.651,432.886,84.6612,5,aflow
C1Ti1,Ti,0.0,0.0,0.0,2.04122e-05,900.926,,4.406753196894705,238.772,0.201768,177.762,427.257,91.4544,34,icsd
C1Tl1,Tl,0.0,0.0,,,,2.1054950000000003,5.03920380878649,,,,,,4,aflow
C1Tl1,Tl,0.0,0.0,0.0,8.53159e-05,221.86,2.10401,5.039017403137862,85.1167,0.329857,32.6696,86.8919,2.90536,1,icsd
C1U1,U,-0.01956521739130435,0.17621739130434783,0.0,,,,4.988857476498571,,,,,,23,icsd
C1V1,V,0.0,0.0,,1.9637e-05,923.975,-0.4175352,4.163730012465594,304.739,0.220996,208.903,510.14,87.7031,5,aflow
C1V1,V,-0.00015789473684210527,0.0007894736842105263,0.0,1.92733e-05,941.103,,4.1907893521347335,295.661,0.206732,215.561,520.248,96.1928,19,icsd
C1W1,W,0.0,0.0,,1.99439e-05,470.028,0.32325360000000003,4.390453128250533,364.103,0.319009,149.884,395.396,34.3509,5,aflow
C1W1,W,0.0,0.0,0.0,1.95616e-05,509.047,,4.405674486883399,357.694,0.286673,177.914,457.835,44.9704,3,icsd
