compound,binding_metal,run_count,spinD_carbon_aflow,spinD_carbon_icsd,spinD_metal_aflow,spinD_metal_icsd,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,calculated_lattice_parameter,ael_bulk_modulus_vrh,ael_poisson_ratio_aflow,ael_poisson_ratio_icsd,ael_shear_modulus_vrh_aflow,ael_shear_modulus_vrh_icsd,ael_youngs_modulus_vrh_aflow,ael_youngs_modulus_vrh_icsd,agl_thermal_conductivity_300K_aflow,agl_thermal_conductivity_300K_icsd
C1Rh1,Rh,5,0.069,0.113,0.17899999999999996,0.302,0.0,3.09355e-05,405.975,1.08719,4.352745006523877,280.367,,0.390611,,66.1628,,184.014,,10.6001
C1Ru1,Ru,5,0.0,0.0,0.0,0.0,0.0,2.79783e-05,204.963,0.905407,4.31582167979003,317.922,,0.475088,,16.1078,,47.521,,1.49975
C1Sb1,Sb,4,0.0,,0.0,,,,,1.35775,4.891683797389682,,,,,,,,,
C1Sc1,Sc,7,0.0,0.0,0.0,0.0,0.0,3.348255e-05,601.1135,-0.141557,4.7226535700672745,150.1225,0.307883,0.294489,67.6882,69.843,177.057,180.822,26.9782,28.7652
C1Se1,Se,4,0.0,,0.0,,,,,1.923505,4.603864112744722,,,,,,,,,
C1Si1,Si,5,0.0,0.0,0.0,0.0,0.0,2.71302e-05,1026.21,0.5349645,4.057087442176068,242.211,,0.206966,,176.416,,425.857,,60.7937
C1Sn1,Sn,5,0.0,0.0,0.0,0.0,0.0,5.65259e-05,444.036,1.25588,4.846626462938577,119.661,,0.211036,,85.6568,,207.467,,14.5718
C1Sr1,Sr,4,0.835,,0.11925,,,,,1.2640425,5.6772737933812465,,,,,,,,,
C1Ta1,Ta,61,0.0,0.0,0.0,0.0,0.0,1.941695e-05,555.5425,-0.58063425,4.492460204842776,318.414,0.229615,0.237138,212.011,201.073,521.383,497.51,64.3567,61.4198
C1Tc1,Tc,4,0.0,-0.114,0.0,1.385,0.0,5.51523e-05,439.187,0.644485,4.3531378540147285,230.128,,0.362243,,69.8152,,190.211,,5.40894
C1Te1,Te,4,0.0,,0.0,,,,,1.8436825,4.997909792216116,,,,,,,,,
C1Th1,Th,10,,0.0,,0.0,0.0,2.4455e-05,355.982,,5.480067955999349,147.5,,0.250005,,88.4978,,221.245,,29.595
C1Ti1,Ti,39,0.0,0.0,0.0,0.0,0.0,2.07259e-05,895.9390000000001,-0.8179829999999999,4.372187204735529,244.442,0.211539,0.201768,178.651,177.762,432.886,427.257,84.6612,91.4544
C1Tl1,Tl,5,0.0,0.0,0.0,0.0,0.0,8.53159e-05,221.86,2.1047525,5.0391106059621755,85.1167,,0.329857,,32.6696,,86.8919,,2.90536
C1U1,U,23,,-0.01956521739130435,,0.17621739130434783,0.0,,,,4.988857476498571,,,,,,,,,
C1V1,V,24,0.0,-0.00015789473684210527,0.0,0.0007894736842105263,0.0,1.945515e-05,932.539,-0.4175352,4.177259682300164,300.2,0.220996,0.206732,208.903,215.561,510.14,520.248,87.7031,96.1928
C1W1,W,8,0.0,0.0,0.0,0.0,0.0,1.975275e-05,489.5375,0.32325360000000003,4.398063807566966,360.8985,0.319009,0.286673,149.884,177.914,395.396,457.835,34.3509,44.9704
C1Y1,Y,6,0.0,0.0,0.0,0.0,0.0,3.7955700000000007e-05,457.038,0.0366209375,5.0944049454609726,124.0445,0.274763,0.279353,65.5633,64.3648,167.156,164.691,19.9858,19.4086
C1Zn1,Zn,4,0.0,,0.0,,,,,1.6496425000000001,4.4015782848618095,,,,,,,,,
C1Zr1,Zr,51,0.0,0.0,0.0,0.0,0.0,2.1894399999999998e-05,673.9255,-0.8125236388888889,4.723915343325833,218.95850000000002,0.209052,0.212686,156.693,156.986,378.901,380.749,67.4176,67.4411
C2Ca2,Ca,6,0.8144999999999999,,0.135,,,,,1.1313199999999999,5.285816664356883,,,,,,,,,
C2Cd2,Cd,2,0.0,,0.0,,,,,1.977325,4.854186344890747,,,,,,,,,
C2Cr2,Cr,1,-0.119,,1.447,,,,,0.159307,4.107402846085805,,,,,,,,,
C2Fe2,Fe,7,0.0,,0.0,,,,,0.5981928571428572,3.9936721258364836,,,,,,,,,
C2Ga2,Ga,2,0.0,,0.0,,,,,1.21469,4.393076951578469,,,,,,,,,
C2Ge2,Ge,4,0.0,,0.0,,,,,1.282105,4.388376028706405,,,,,,,,,
C2Hf2,Hf,10,0.0,,0.0,,,,,-0.9480747,4.6509103064490995,,,,,,,,,
C2Hg2,Hg,4,0.0,,0.0,,,,,2.3022275,4.9097397044036235,,,,,,,,,
C2In2,In,4,0.0,,0.0,,,,,1.4953825,4.830110911130054,,,,,,,,,
C2K2,K,10,1.219,,0.066,,,,,2.3060210000000003,6.179399036379226,,,,,,,,,
C2Mg2,Mg,4,0.00175,,0.0,,,,,1.325275,4.622493003617485,,,,,,,,,
C2Mn2,Mn,8,-0.141125,,2.085625,,,,,0.309352125,4.0852022367834255,,,,,,,,,
C2Mo2,Mo,1,0.0,,0.0,,,,,0.214948,4.382582659821558,,,,,,,,,
C2Nb2,Nb,7,0.0,,0.0,,,,,-0.545584,4.482864827730056,,,,,,,,,
