parameter,mean_variance
spin_d_carbon,0.19252134011656905
spin_d_metal,0.1909207832442492
egap,
thermal_expansion,0.02893696853654323
debye_temperature,0.031006350542407732
formation_enthalpy,0.001257601556151767
lattice_parameter,0.006042877116874124
bulk_modulus,0.02864032016259973
poissons_ratio,0.05146176135596905
shear_modulus,0.06609447157795166
youngs_modulus,0.05806214963823719
thermal_conductivity,0.11137091481546575
